timestamp,success,tag_b_id,x_m,y_m,z_m,rx_deg,ry_deg,rz_deg,message,run_dir
20260902_130121,0,129,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=129 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_130121_tag129_FAILED
20260902_130121,0,130,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=130 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_130121_tag130_FAILED
20260902_130121,0,131,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=131 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_130121_tag131_FAILED
20260902_130121,0,132,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=132 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_130121_tag132_FAILED
20260902_130121,0,133,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=133 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_130121_tag133_FAILED
20260902_130121,0,134,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=134 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_130121_tag134_FAILED
20260902_130121,0,135,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=135 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_130121_tag135_FAILED
20260902_130121,0,136,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=136 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_130121_tag136_FAILED
20260902_130122,0,137,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=137 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_130122_tag137_FAILED
20260902_130122,0,138,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=138 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_130122_tag138_FAILED
20260902_130122,0,139,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=139 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_130122_tag139_FAILED
20260902_130122,0,140,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=140 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_130122_tag140_FAILED
20260902_130122,0,141,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=141 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_130122_tag141_FAILED
20260902_130122,0,142,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=142 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_130122_tag142_FAILED
20260902_130122,0,143,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=143 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_130122_tag143_FAILED
20260902_130123,0,144,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=144 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_130123_tag144_FAILED
20260902_130123,0,145,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=145 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_130123_tag145_FAILED
20260902_130123,0,146,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=146 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_130123_tag146_FAILED
20260902_130123,0,147,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=147 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_130123_tag147_FAILED
20260902_130123,0,148,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=148 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_130123_tag148_FAILED
20260902_130123,0,149,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=149 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_130123_tag149_FAILED
20260902_130124,0,150,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=150 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_130124_tag150_FAILED
20260902_130532,0,126,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,"move_cart: no completion within 60.0s (arm busy with a scan, or arm_node down?); target=[-1091.7, 892.1000000000001, 384.1, 178.70000000000002, 0.30000000000000043, 53.90000000000001]",/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_130532_tag126_FAILED
20260902_130644,0,127,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=127 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_130644_tag127_FAILED
20260902_130644,0,128,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=128 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_130644_tag128_FAILED
20260902_130644,0,129,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=129 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_130644_tag129_FAILED
20260902_130644,0,130,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=130 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_130644_tag130_FAILED
20260902_130644,0,131,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=131 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_130644_tag131_FAILED
20260902_130644,0,132,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=132 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_130644_tag132_FAILED
20260902_130644,0,133,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=133 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_130644_tag133_FAILED
20260902_130644,0,134,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=134 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_130644_tag134_FAILED
20260902_131628,0,126,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,"move_cart: no completion within 60.0s (arm busy with a scan, or arm_node down?); target=[-1091.7, 892.1, 384.09999999999985, 178.70000000000002, 0.2999999999999998, 53.900000000000006]",/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_131628_tag126_FAILED
20260902_131851,0,127,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,"move_cart: no completion within 60.0s (arm busy with a scan, or arm_node down?); target=[-845.4339946078659, 1076.6423072557482, 367.00080029965005, 165.7021906892248, 27.593686507233127, 39.68605141921767]",/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_131851_tag127_FAILED
20260902_131925,0,128,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,auto_align: tag A (id=0) not detected at iteration 4 — adjust initial pose (tag 0 not detected on /hand_cam/tag_detections within 3.0s),/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_131925_tag128_FAILED
20260902_131927,0,129,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=129 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_131927_tag129_FAILED
20260902_131927,0,130,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=130 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_131927_tag130_FAILED
20260902_131927,0,131,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=131 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_131927_tag131_FAILED
20260902_131927,0,132,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=132 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_131927_tag132_FAILED
20260902_131927,0,133,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=133 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_131927_tag133_FAILED
20260902_131927,0,134,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=134 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_131927_tag134_FAILED
20260902_131927,0,135,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=135 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_131927_tag135_FAILED
20260902_131928,0,136,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=136 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_131928_tag136_FAILED
20260902_131928,0,137,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=137 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_131928_tag137_FAILED
20260902_131928,0,138,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=138 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_131928_tag138_FAILED
20260902_131928,0,139,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=139 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_131928_tag139_FAILED
20260902_131928,0,140,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=140 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_131928_tag140_FAILED
20260902_131928,0,141,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=141 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_131928_tag141_FAILED
20260902_131928,0,142,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=142 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_131928_tag142_FAILED
20260902_131929,0,143,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=143 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_131929_tag143_FAILED
20260902_131929,0,144,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=144 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_131929_tag144_FAILED
20260902_131929,0,145,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=145 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_131929_tag145_FAILED
20260902_131929,0,146,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=146 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_131929_tag146_FAILED
20260902_131929,0,147,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=147 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_131929_tag147_FAILED
20260902_131930,0,148,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=148 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_131930_tag148_FAILED
20260902_131930,0,149,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=149 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_131930_tag149_FAILED
20260902_131930,0,150,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=150 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_131930_tag150_FAILED
20260902_133252,0,126,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=126 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_133252_tag126_FAILED
20260902_133252,0,127,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=127 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_133252_tag127_FAILED
20260902_133252,0,128,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=128 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_133252_tag128_FAILED
20260902_133252,0,129,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=129 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_133252_tag129_FAILED
20260902_133252,0,130,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=130 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_133252_tag130_FAILED
20260902_133252,0,131,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=131 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_133252_tag131_FAILED
20260902_133252,0,132,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=132 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_133252_tag132_FAILED
20260902_133253,0,133,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=133 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_133253_tag133_FAILED
20260902_133253,0,134,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=134 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_133253_tag134_FAILED
20260902_133253,0,135,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=135 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_133253_tag135_FAILED
20260902_133253,0,136,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=136 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_133253_tag136_FAILED
20260902_133253,0,137,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=137 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_133253_tag137_FAILED
20260902_133253,0,138,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=138 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_133253_tag138_FAILED
20260902_133254,0,139,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=139 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_133254_tag139_FAILED
20260902_133254,0,140,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=140 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_133254_tag140_FAILED
20260902_133254,0,141,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=141 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_133254_tag141_FAILED
20260902_133254,0,142,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=142 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_133254_tag142_FAILED
20260902_133255,0,143,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=143 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_133255_tag143_FAILED
20260902_133255,0,144,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=144 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_133255_tag144_FAILED
20260902_133255,0,145,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=145 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_133255_tag145_FAILED
20260902_133255,0,146,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=146 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_133255_tag146_FAILED
20260902_133256,0,147,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=147 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_133256_tag147_FAILED
20260902_133256,0,148,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=148 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_133256_tag148_FAILED
20260902_133256,0,149,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=149 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_133256_tag149_FAILED
20260902_133256,0,150,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=150 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_133256_tag150_FAILED
