index,timestamp,tcp_x_mm,tcp_y_mm,tcp_z_mm,tcp_rx_deg,tcp_ry_deg,tcp_rz_deg,image,pose
36,20260918_151035,-420.289,536.731,-60.537,-167.9832,0.7874,0.0999,samples/0036_image.png,samples/0036_pose.npz
37,20260918_151039,-419.756,516.758,37.465,-167.9789,0.7846,0.1054,samples/0037_image.png,samples/0037_pose.npz
38,20260918_151045,-420.892,556.840,-158.496,-167.9768,0.7882,0.1082,samples/0038_image.png,samples/0038_pose.npz
39,20260918_151052,-245.175,480.278,-137.814,-160.4580,-9.7487,28.4042,samples/0039_image.png,samples/0039_pose.npz
40,20260918_151056,-245.929,517.013,-230.831,-160.4620,-9.7465,28.4009,samples/0040_image.png,samples/0040_pose.npz
41,20260918_151222,-69.407,685.430,-167.296,-168.6170,19.9184,31.8814,samples/0041_image.png,samples/0041_pose.npz
42,20260918_151235,-424.232,868.483,11.256,158.0204,0.3468,-0.1266,samples/0042_image.png,samples/0042_pose.npz
43,20260918_151239,-424.380,906.650,103.721,158.0214,0.3454,-0.1246,samples/0043_image.png,samples/0043_pose.npz
44,20260918_151243,-424.550,944.845,196.167,158.0237,0.3470,-0.1253,samples/0044_image.png,samples/0044_pose.npz
45,20260918_151252,-588.724,827.441,-32.147,169.6421,-5.6934,-29.4861,samples/0045_image.png,samples/0045_pose.npz
46,20260918_151256,-587.468,716.450,-77.623,179.9956,0.4043,-30.0053,samples/0046_image.png,samples/0046_pose.npz
47,20260918_151300,-587.136,717.221,22.395,179.9913,0.4012,-30.0040,samples/0047_image.png,samples/0047_pose.npz
48,20260918_151304,-586.842,718.019,122.413,179.9924,0.4035,-30.0042,samples/0048_image.png,samples/0048_pose.npz
