target_line,group_id,point_id,x,y,z,rx,ry,rz,speed,is_discontinuous,coordinate_frame,base_normal_error_mm,base_x_actual_mm,standoff_mm,base_height_mm,lift_mm
1,106,62,-0.091936262196034457,0.043089568615548503,0.35260168138388437,-1.5709590301014584,0.075406382334747279,3.139432924613077,10,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,106,63,-0.06195158911560994,0.043089379525555811,0.35239965382012511,-1.5708480729880092,0.075425502716523374,3.1409059457813289,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,106,64,-0.031966916058708605,0.043089192052279207,0.35219760486144558,-1.5707370594805323,0.075444297992506515,-3.1408063309052561,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,106,65,-0.0019822429781917172,0.04308900619632243,0.35199553450788945,-1.5706259906610742,0.075462767977716894,-3.1393332927916737,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,106,66,-0.017012896011525447,0.073089234463666802,0.35436921014989314,-1.5707622625557711,0.075440060315026924,-3.141140684579927,10,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,106,67,-0.046994675571294664,0.073089459603797868,0.35457125370491849,-1.570895185336342,0.075417425109210345,3.1402805925976489,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,106,68,-0.076976455193499049,0.07308968706214615,0.3547732665767715,-1.5710280265818111,0.075394323772341121,3.1385165770060515,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,106,69,-0.10695823495909562,0.073089916837647567,0.35497524876573777,-1.5711607844358211,0.075370756633175162,3.1367525787510884,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,106,70,-0.093943187850476617,0.10309022386128182,0.35715903912330088,-1.5713076498993246,0.07533911453003439,3.1347993788110289,10,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,106,71,-0.06396580127547713,0.10308988371276706,0.35695799068039719,-1.5711417332735047,0.075374168132594344,3.1370057858233986,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,106,72,-0.033988339714673188,0.10308959813875683,0.35675601106683841,-1.5709762639260791,0.075403382511890715,3.1392040682465252,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,106,73,-0.0040108783275571991,0.10308931616390561,0.35655398380289921,-1.5708106661960386,0.075431873305533026,3.1414023758222127,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,106,74,-0.014921640617618914,0.13308975236868414,0.35889994752673177,-1.5710659039031323,0.075387648793291628,3.1380134004356948,10,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,106,75,-0.044891963744295271,0.13309013457337648,0.35910186479786427,-1.5712852914161419,0.075348217060827949,3.1350972012262468,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,106,76,-0.074873273631557158,0.13309079567100696,0.35929423021355156,-1.571421560121308,0.075280911433986075,3.1332796572941981,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,106,77,-0.10485494462680056,0.13309146813729453,0.35948625242024579,-1.5715548607942951,0.075212247708663416,3.1314982340241171,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,106,78,-0.095952236632699917,0.16309189911057204,0.36168651888897757,-1.5716399179796436,0.075168121312603198,3.1303598224847686,10,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,106,79,-0.065967349539312714,0.16309134732812755,0.36149449508884685,-1.571530965629742,0.07522460020922983,3.131817807888241,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,106,80,-0.03598246261917204,0.16309079711898203,0.361302450298504,-1.5714218479144679,0.075280763833902808,3.1332758147456334,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,106,81,-0.0059975758265005119,0.1630902484848602,0.36111038451783489,-1.5713125658686038,0.075336611647900176,3.1347338414246804,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,106,82,-0.012817025453337294,0.19309104212658251,0.36341138926732347,-1.5714704968511464,0.075255773355314748,3.1326260478819519,10,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,106,83,-0.042804140078855912,0.1930915082848495,0.36360344122544186,-1.5715627966182235,0.075208141059134537,3.1313920770331536,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,106,84,-0.072791254838046049,0.19309197556970942,0.36379547814830032,-1.5716549777178226,0.075160283046644905,3.1301581218931407,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
