group_id,point_id,robot_x,robot_y,robot_theta,tcp_x_mm,tcp_y_mm,tcp_z_mm,tcp_rx_deg,tcp_ry_deg,tcp_rz_deg,world_x,world_y,world_z
105,64,-2.0,0.394193,89.7905,-111.7851,1433.2098,-354.0786,-178.9781,-0.5776,-0.0105,1.035837415,2.111850728,0.600206334
105,65,-2.0,0.394193,89.7905,-111.7192,1463.8751,-353.6916,-179.252,-0.5485,-0.0073,1.066589384,2.11177016,0.600656112
105,66,-2.0,0.394193,89.7905,-111.6988,1494.121,-353.3478,-179.3418,-0.544,-0.0055,1.096837745,2.111751887,0.601011066
105,67,-2.0,0.394193,89.7905,-111.6676,1524.8494,-353.1395,-179.633,-0.5233,-0.003,1.127638446,2.111702856,0.601274274
105,68,-2.0,0.394193,89.7905,-111.645,1555.1147,-352.9409,-179.6998,-0.5218,-0.003,1.157841841,2.111696893,0.601401866
105,69,-2.0,0.394193,89.7905,-111.6213,1585.3195,-352.8237,-179.7721,-0.5215,-0.0028,1.188045237,2.111690929,0.601529199
105,70,-2.0,0.394193,89.7905,-81.591,1581.9971,-352.6723,-179.907,-0.5195,0.0069,1.184848264,2.081680363,0.601788935
105,71,-2.0,0.394193,89.7905,-81.6261,1551.5856,-352.6927,-179.7337,-0.522,-0.0012,1.154385678,2.081693809,0.601664491
105,72,-2.0,0.394193,89.7905,-81.6276,1521.241,-352.8549,-179.6279,-0.5245,-0.0028,1.12408116,2.081702733,0.601536327
105,73,-2.0,0.394193,89.7905,-81.6414,1490.6196,-353.1375,-179.4087,-0.5383,-0.0055,1.093463211,2.08173893,0.601260756
105,74,-2.0,0.394193,89.7905,-81.6837,1460.2598,-353.4301,-179.2562,-0.5482,-0.0059,1.063050167,2.081768538,0.600905992
105,75,-2.0,0.394193,89.7905,-81.7373,1429.7233,-353.9224,-179.0707,-0.5639,-0.0099,1.032528708,2.081822001,0.600449331
105,76,-2.0,0.394193,89.7905,-81.7647,1399.3079,-354.3943,-178.8901,-0.5905,-0.0113,1.002041304,2.081877611,0.599895266
105,77,-2.0,0.394193,89.7905,-81.8577,1368.7876,-355.0364,-178.7011,-0.6115,-0.0143,0.971521289,2.081949066,0.5992469
105,78,-2.0,0.394193,89.7905,-81.9514,1338.2324,-355.808,-178.4974,-0.6454,-0.0158,0.940955725,2.082035781,0.598482361
105,79,-2.0,0.394193,89.7905,-82.0377,1307.6815,-356.6866,-178.2932,-0.6801,-0.0193,0.910394546,2.082132168,0.597614366
105,80,-2.0,0.394193,89.7905,-82.1314,1277.1333,-357.5926,-178.0537,-0.7234,-0.0246,0.879755634,2.08225341,0.596621272
105,81,-2.0,0.394193,89.7905,-82.2683,1246.475,-358.7526,-177.8182,-0.7693,-0.0291,0.849109261,2.0823857,0.595495484
105,82,-2.0,0.394193,89.7905,-82.3988,1215.7885,-359.9714,-177.5447,-0.8273,-0.0367,0.818376274,2.082547703,0.59424471
105,83,-2.0,0.394193,89.7905,-82.5852,1185.0919,-361.3782,-177.2618,-0.8903,-0.043,0.787618989,2.082725076,0.592811186
105,84,-2.0,0.394193,89.7905,-82.8261,1154.1957,-362.8954,-176.9025,-0.973,-0.0515,0.756661375,2.082957969,0.591251822
105,85,-2.0,0.394193,89.7905,-83.0125,1123.4368,-364.7021,-176.6016,-1.0481,-0.0619,0.725865837,2.083165259,0.589451014
105,86,-2.0,0.394193,89.7905,-83.3486,1097.2849,-366.2621,-176.2838,-1.1746,-0.0765,0.699632563,2.083521877,0.587837172
105,87,-2.0,0.394193,89.7905,-49.9424,1098.6146,-365.9491,-176.3931,0.166,0.0173,0.700938161,2.049798229,0.588189327
105,88,-2.0,0.394193,89.7905,-49.6633,1128.7872,-364.0797,-176.4602,0.2457,0.0142,0.731054692,2.049559046,0.590102735
105,89,-2.0,0.394193,89.7905,-49.7694,1159.8616,-362.2862,-176.8994,0.2152,0.0133,0.762221145,2.049640809,0.591946762
105,90,-2.0,0.394193,89.7905,-51.3855,1190.6792,-360.6784,-177.2198,-0.4215,-0.0205,0.793077785,2.051414774,0.59354036
105,91,-2.0,0.394193,89.7905,-52.3582,1222.0056,-359.325,-177.7416,-0.7856,-0.0321,0.824505916,2.052434952,0.594913397
105,92,-2.0,0.394193,89.7905,-52.267,1252.3401,-358.153,-177.8866,-0.755,-0.028,0.854884017,2.052347813,0.59611357
105,93,-2.0,0.394193,89.7905,-52.1277,1283.2694,-357.043,-178.2185,-0.6901,-0.0204,0.885807248,2.052170678,0.597189104
105,94,-2.0,0.394193,89.7905,-52.0682,1313.561,-356.1568,-178.3596,-0.6648,-0.0178,0.916170025,2.052099859,0.59814055
105,95,-2.0,0.394193,89.7905,-51.9428,1344.2834,-355.3709,-178.6503,-0.6196,-0.0137,0.946962503,2.051975425,0.598969969
105,96,-2.0,0.394193,89.7905,-51.8798,1374.6346,-354.6499,-178.7778,-0.5989,-0.0128,0.977315292,2.051920236,0.59969825
105,97,-2.0,0.394193,89.7905,-51.7939,1405.3506,-353.9864,-179.0239,-0.5728,-0.009,1.008011222,2.051836684,0.600315719
105,98,-2.0,0.394193,89.7905,-51.7745,1435.6949,-353.4405,-179.1488,-0.5576,-0.0068,1.03835857,2.05179643,0.600839629
105,99,-2.0,0.394193,89.7905,-51.7246,1466.2472,-353.0757,-179.3709,-0.5373,-0.0051,1.068968851,2.051745781,0.601267125
105,100,-2.0,0.394193,89.7905,-51.6699,1496.6738,-352.7287,-179.5194,-0.5349,-0.0032,1.099387499,2.051718835,0.601601423
105,101,-2.0,0.394193,89.7905,-51.6597,1527.1359,-352.501,-179.7004,-0.5209,-0.0028,1.129885958,2.05169695,0.601838248
105,102,-2.0,0.394193,89.7905,-51.634,1557.5811,-352.3923,-179.8662,-0.518,-0.0014,1.160350726,2.051683403,0.601962237
105,103,-2.0,0.394193,89.7905,-51.6361,1587.9097,-352.3042,-179.9924,-0.5145,0.0008,1.190698554,2.051673338,0.602081147
105,104,-2.0,0.394193,89.7905,-21.5459,1580.1774,-352.098,-179.985,-0.5156,0.0033,1.183030552,2.021673831,0.602320686
105,105,-2.0,0.394193,89.7905,-21.622,1549.9332,-352.2039,-179.8986,-0.5148,-0.0005,1.152793998,2.021680678,0.602202062
105,106,-2.0,0.394193,89.7905,-21.6633,1519.6554,-352.3369,-179.8171,-0.5175,0.0008,1.122557444,2.021687525,0.602083087
105,107,-2.0,0.394193,89.7905,-19.2283,1488.3743,-352.599,-179.3197,0.4018,0.0044,1.091178762,2.019127502,0.601776391
105,108,-2.0,0.394193,89.7905,-18.1537,1458.0464,-352.973,-179.2032,0.8143,0.012,1.060853691,2.017968866,0.601399253
105,109,-2.0,0.394193,89.7905,-17.843,1427.2976,-353.4246,-178.9074,0.9189,0.015,1.030041907,2.01767939,0.600884767
105,110,-2.0,0.394193,89.7905,-17.9289,1397.014,-354.0077,-178.8071,0.9052,0.0192,0.99976329,2.01771576,0.600312947
105,111,-2.0,0.394193,89.7905,-18.059,1366.2308,-354.7331,-178.5254,0.854,0.0219,0.968975445,2.017855656,0.599609471
105,112,-2.0,0.394193,89.7905,-18.0961,1335.9303,-355.4662,-178.3963,0.8308,0.0226,0.938634261,2.017917568,0.598815542
105,113,-2.0,0.394193,89.7905,-18.2555,1305.2338,-356.3612,-178.12,0.7691,0.0248,0.907884529,2.018089247,0.597897691
105,114,-2.0,0.394193,89.7905,-18.3914,1274.809,-357.3471,-177.9433,0.7305,0.0272,0.877411812,2.018199221,0.596861154
105,115,-2.0,0.394193,89.7905,-18.541,1244.1433,-358.5762,-177.7147,0.6681,0.0267,0.84677991,2.018374902,0.595690099
105,116,-2.0,0.394193,89.7905,-18.7362,1213.4885,-359.8205,-177.4387,0.5935,0.026,0.816047665,2.018582585,0.594393951
105,117,-2.0,0.394193,89.7905,-18.948,1182.8997,-361.2822,-177.2073,0.5207,0.0256,0.785433528,2.018784396,0.59292066
105,118,-2.0,0.394193,89.7905,-19.2358,1151.9585,-362.7834,-176.8122,0.3996,0.021,0.754385836,2.019124429,0.591331019
105,119,-2.0,0.394193,89.7905,-19.4657,1121.4473,-364.6452,-176.611,0.3261,0.0199,0.723867171,2.019328599,0.589498041
105,120,-2.0,0.394193,89.7905,-19.8959,1099.6036,-365.953,-176.3908,0.1575,0.0104,0.701968631,2.019798229,0.588173504
105,121,-2.0,0.394193,89.7905,13.0432,1100.6859,-366.639,-176.3888,1.3254,0.0934,0.703003422,1.986558234,0.587519038
105,122,-2.0,0.394193,89.7905,13.4906,1131.1194,-364.7891,-176.5695,1.4813,0.0887,0.733432203,1.986116811,0.589418804
105,123,-2.0,0.394193,89.7905,13.8113,1161.8611,-363.0182,-176.8606,1.5886,0.0862,0.764197755,1.985813529,0.591196573
105,124,-2.0,0.394193,89.7905,13.9918,1192.4929,-361.3988,-177.1118,1.6719,0.0845,0.794861679,1.985582085,0.592807554
105,125,-2.0,0.394193,89.7905,14.2922,1223.2721,-359.9831,-177.4231,1.7733,0.0787,0.825694925,1.985300449,0.594237662
105,126,-2.0,0.394193,89.7905,14.3659,1253.6067,-358.7052,-177.5722,1.8139,0.0777,0.856080506,1.985186266,0.595553476
105,127,-2.0,0.394193,89.7905,13.4841,1284.8722,-357.5081,-178.0494,1.4566,0.0497,0.887394733,1.986175951,0.596748964
105,128,-2.0,0.394193,89.7905,12.165,1315.4519,-356.4902,-178.2886,0.9496,0.0283,0.918036407,1.987592239,0.597791624
105,129,-2.0,0.394193,89.7905,11.9256,1346.3293,-355.6646,-178.6252,0.8731,0.0235,0.94896405,1.987805978,0.598641452
105,130,-2.0,0.394193,89.7905,11.984,1376.5999,-354.9467,-178.7402,0.8954,0.022,0.979272184,1.987747134,0.599404748
105,131,-2.0,0.394193,89.7905,12.1179,1407.3035,-354.3134,-179.0054,0.9297,0.0164,1.010005867,1.987646714,0.600032675
105,132,-2.0,0.394193,89.7905,12.1408,1437.6992,-353.6901,-179.1187,0.9452,0.0165,1.040338135,1.987601528,0.600584815
105,133,-2.0,0.394193,89.7905,12.1809,1468.2482,-353.3495,-179.3595,0.9659,0.0132,1.070988721,1.987542215,0.601019503
105,134,-2.0,0.394193,89.7905,12.2698,1498.6497,-353.0129,-179.5073,0.9767,0.008,1.101402238,1.9875122,0.601372007
105,135,-2.0,0.394193,89.7905,12.2665,1529.1854,-352.7048,-179.6867,0.9848,0.0062,1.131913551,1.987487929,0.601607957
105,136,-2.0,0.394193,89.7905,12.27,1559.6289,-352.6187,-179.8598,0.9898,0.0043,1.162390571,1.987472618,0.601737369
