group_id,point_id,q1,q2,q3,q4,q5,q6,collision_detected,lift_height
117,28,-1.534483742,-0.43611951,1.516724578,-2.685181668,-1.532185739,0.036317095,FALSE,150.0
117,29,-1.533516628,-0.452962675,1.585141962,-2.741670413,-1.531958006,0.037278383,FALSE,150.0
117,30,-1.532513097,-0.467294985,1.650985311,-2.798173189,-1.531685743,0.038274818,FALSE,150.0
117,31,-1.531477613,-0.478879452,1.715270525,-2.856962117,-1.531354174,0.039299955,FALSE,150.0
117,32,-1.530337893,-0.487919441,1.777204538,-2.915792399,-1.531095325,0.040427489,FALSE,150.0
117,33,-1.529302722,-0.493466336,1.838131537,-2.978800312,-1.530505279,0.041445283,FALSE,150.0
117,34,-1.528266153,-0.500406578,1.891719643,-3.024036288,-1.529778556,0.042485789,FALSE,150.0
117,35,-1.528179262,-0.50088378,1.895992058,-3.027717632,-1.52971991,0.042572948,FALSE,150.0
117,36,-1.564439924,-0.501006815,1.909026206,-3.039101076,-1.527507466,0.00634762,FALSE,150.0
117,37,-1.56406155,-0.49511281,1.854865069,-2.991380485,-1.5285976,0.006724784,FALSE,150.0
117,38,-1.563907629,-0.490146136,1.794290848,-2.928522895,-1.529307482,0.006881128,FALSE,150.0
117,39,-1.563837943,-0.481772063,1.732367963,-2.868910631,-1.529872163,0.006952744,FALSE,150.0
117,40,-1.563735928,-0.471083836,1.667346477,-2.807299219,-1.530510647,0.007057105,FALSE,150.0
117,41,-1.563790337,-0.456783644,1.603213929,-2.754432234,-1.530837187,0.007003208,FALSE,150.0
117,42,-1.563755081,-0.440731053,1.534022184,-2.695071963,-1.531348844,0.007039895,FALSE,150.0
117,43,-1.563853183,-0.421630441,1.465384786,-2.643273564,-1.531571198,0.006942114,FALSE,150.0
117,44,-1.563869517,-0.400465813,1.390740947,-2.584305509,-1.531966633,0.006926669,FALSE,150.0
117,45,-1.563990417,-0.376480914,1.315968025,-2.531716079,-1.532116655,0.006805934,FALSE,150.0
117,46,-1.565076761,-0.349955095,1.234903419,-2.472810092,-1.529940209,0.005720352,FALSE,150.0
117,47,-1.567277009,-0.320704699,1.15386001,-2.420772745,-1.524893464,0.003519336,FALSE,150.0
117,48,-1.571973483,-0.288078156,1.063284845,-2.358275625,-1.513287366,-0.001182449,FALSE,150.0
117,49,-1.571938576,-0.25109275,0.966386905,-2.296902237,-1.513303959,-0.001147503,FALSE,150.0
117,50,-1.571890423,-0.208103875,0.854895659,-2.223980407,-1.513359911,-0.001099325,FALSE,150.0
117,51,-1.571863112,-0.158542945,0.733110332,-2.150537145,-1.513365489,-0.001071985,FALSE,150.0
117,52,-1.571837054,-0.097816216,0.587770444,-2.064705048,-1.513371,-0.001045891,FALSE,150.0
117,53,-1.594327029,-0.088767486,0.567324088,-2.048861882,-1.513395135,-0.02357299,FALSE,150.0
117,54,-1.594894864,-0.151929328,0.718692082,-2.139160367,-1.513326449,-0.024141762,FALSE,150.0
117,55,-1.595491677,-0.202956242,0.84477378,-2.216690539,-1.513252009,-0.02473938,FALSE,150.0
117,56,-1.596124653,-0.246256259,0.955328075,-2.286620717,-1.513158679,-0.025373065,FALSE,150.0
117,57,-1.596796354,-0.284006705,1.055152471,-2.35149645,-1.513046768,-0.026045298,FALSE,150.0
117,58,-1.597507803,-0.31748318,1.147072801,-2.41287091,-1.512920979,-0.026757085,FALSE,150.0
117,59,-1.598262609,-0.347370903,1.232635066,-2.471426433,-1.51278015,-0.027512047,FALSE,150.0
117,60,-1.599061586,-0.374259314,1.313428596,-2.528479024,-1.512630415,-0.028310801,FALSE,150.0
117,61,-1.599917215,-0.398314638,1.390288038,-2.58477163,-1.512451606,-0.029165736,FALSE,150.0
117,62,-1.600818303,-0.419896895,1.46359403,-2.640004742,-1.51227926,-0.030065679,FALSE,150.0
117,63,-1.601788253,-0.43884903,1.534352527,-2.696050179,-1.512070951,-0.031033349,FALSE,150.0
117,64,-1.602826361,-0.455306101,1.602992717,-2.753275951,-1.511841258,-0.03206758,FALSE,150.0
117,65,-1.603906383,-0.469441295,1.668411685,-2.808757429,-1.511656306,-0.033143592,FALSE,150.0
117,66,-1.600630033,-0.47975185,1.733712478,-2.872937067,-1.52012622,-0.0298385,FALSE,150.0
117,67,-1.59858342,-0.490159509,1.791204231,-2.920500937,-1.525863483,-0.027783665,FALSE,150.0
117,68,-1.598991159,-0.495013436,1.85271538,-2.985471137,-1.526840944,-0.028178081,FALSE,150.0
117,69,-1.600509145,-0.499255194,1.909265367,-3.040687721,-1.525906201,-0.0296902,FALSE,150.0
117,70,-1.601061282,-0.500761346,1.920091288,-3.048788232,-1.525330657,-0.030244999,FALSE,150.0
117,71,-1.641429657,-0.495237387,1.828796691,-2.948068525,-1.509641661,-0.070687753,FALSE,150.0
117,72,-1.639012632,-0.485727602,1.771474424,-2.900569807,-1.509861086,-0.068267535,FALSE,150.0
117,73,-1.636616642,-0.476186035,1.708029435,-2.840630865,-1.510351777,-0.06588631,FALSE,150.0
117,74,-1.634397446,-0.46364561,1.642942473,-2.782930482,-1.510778113,-0.06367667,FALSE,150.0
117,75,-1.632320327,-0.448619465,1.575805231,-2.726048419,-1.511181939,-0.061606014,FALSE,150.0
117,76,-1.630398744,-0.430903996,1.506888954,-2.671129469,-1.511506789,-0.059687684,FALSE,150.0
117,77,-1.628543951,-0.411013303,1.433810206,-2.612787528,-1.511923919,-0.057836616,FALSE,150.0
117,78,-1.626892823,-0.388233488,1.360392294,-2.56029192,-1.512103531,-0.05618484,FALSE,150.0
117,79,-1.625573415,-0.363075566,1.280611025,-2.501019064,-1.511710316,-0.054869245,FALSE,150.0
117,80,-1.626497283,-0.335084971,1.20123146,-2.448882878,-1.506058695,-0.055814393,FALSE,150.0
117,81,-1.628693181,-0.303928414,1.113210776,-2.387648916,-1.497137543,-0.058053748,FALSE,150.0
117,82,-1.627248656,-0.269074233,1.020333241,-2.32840745,-1.497193128,-0.056605999,FALSE,150.0
