target_line,group_id,point_id,q1,q2,q3,q4,q5,q6,is_discontinuous,is_task_waypoint,source_point_id,waypoint_kind,speed,base_normal_error_mm,base_x_actual_mm,standoff_mm,base_height_mm,lift_mm
1,132,228,-1.743291219,-0.5607487203,1.482907225,-2.450418231,-1.55353522,-0.172392448,0,1,174,task,30,0,-1610,50,652,0
1,132,229,-1.738585684,-0.5322812792,1.413094495,-2.411527472,-1.553309783,-0.1677055185,0,1,175,task,30,0,-1610,50,652,0
1,132,230,-1.734618362,-0.5024416138,1.358086644,-2.408498892,-1.551730064,-0.1638381301,0,1,176,task,30,0,-1610,50,652,0
1,132,231,-1.730602594,-0.4721444734,1.287699256,-2.375990517,-1.550858781,-0.1598379176,0,1,177,task,30,0,-1610,50,652,0
1,132,232,-1.726574272,-0.4398523655,1.208227417,-2.330552136,-1.550649344,-0.1558111598,0,1,178,task,30,0,-1610,50,652,0
1,132,233,-1.722742965,-0.4050515713,1.123938887,-2.282803259,-1.550455027,-0.151980873,0,1,179,task,30,0,-1610,50,652,0
1,132,234,-1.719094532,-0.3672143915,1.033634175,-2.232072189,-1.550274736,-0.1483329576,0,1,180,task,30,0,-1610,50,652,0
1,132,235,-1.715616155,-0.3255525361,0.9355499029,-2.177383935,-1.550107483,-0.1448546344,0,1,181,task,30,0,-1610,50,652,0
1,132,236,-1.713956174,-0.3021796014,0.8812238511,-2.147296796,-1.550029927,-0.143194464,0,0,,transition,30,0,-1610,50,652,0
1,132,237,-1.712296192,-0.2788066666,0.8268977993,-2.117209656,-1.549952371,-0.1415342936,0,1,182,task,30,0,-1610,50,652,0
1,132,238,-1.710710116,-0.2517756279,0.7648318519,-2.083039666,-1.549880477,-0.1399478284,0,0,,transition,30,0,-1610,50,652,0
1,132,239,-1.709124039,-0.2247445892,0.7027659046,-2.048869675,-1.549808583,-0.1383613632,0,1,183,task,30,0,-1610,50,652,0
1,132,240,-1.70760703,-0.1916929775,0.6277778299,-2.007797115,-1.549741978,-0.1368437797,0,0,,transition,30,0,-1610,50,652,0
